Category,State,Rank,HS Code,Description,Value2017,Value2018,Value2019,Value2020,Share2017,Share2018,Share2019,Share2020,
Import,CA,19,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",4839,4178,5397,3143,1.1,0.9,1.3,0.8,
Import,CA,20,852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAME",2516,2932,2987,3083,0.6,0.7,0.7,0.8,
Import,CA,21,852852,OTHER MONITORS CAPABLE OF DIRECTLY CONNECTING TO A,2140,2296,2729,3066,0.5,0.5,0.7,0.8,
Import,CA,22,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",2237,2485,2702,2725,0.5,0.6,0.7,0.7,
Import,CA,23,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",3388,2898,3175,2636,0.8,0.7,0.8,0.7,
Import,CA,24,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,2364,2634,2360,2506,0.5,0.6,0.6,0.6,
Import,CA,25,844399,"PARTS AND ACCESSORIES OF PRINTERS, COPYING MACHINE",3246,3217,2834,2144,0.7,0.7,0.7,0.5,
Import,CA,-1,0,Total_25,199686,186384,162196,159919,45.4,42.3,39.7,40.4,
Import,TX,1,270900,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS,",34517,38358,25608,16204,13.1,12.6,8.7,6.5,
Import,TX,2,847150,DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.,13775,18669,18841,13814,5.2,6.1,6.4,5.6,
Import,TX,3,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",18995,17077,9475,8942,7.2,5.6,3.2,3.6,
Import,TX,4,851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRE,9505,8963,13530,8744,3.6,3,4.6,3.5,
Import,TX,5,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,4607,12060,13910,8322,1.8,4,4.7,3.4,
Import,TX,6,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",3961,5551,7316,7217,1.5,1.8,2.5,2.9,
Import,TX,7,870324,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,618,5045,6781,6879,0.2,1.7,2.3,2.8,
Import,TX,8,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",6111,8598,7734,5120,2.3,2.8,2.6,2.1,
Import,TX,9,854430,INSULATED IGNITION WIRING SETS AND OTHER WIRING SE,3870,4877,5116,4139,1.5,1.6,1.7,1.7,
Import,TX,10,870340,"PASSENGER MOTOR VEHICLES, WITH BOTH APRK-IG INTRNL",0,1261,3193,3374,0,0.4,1.1,1.4,
Import,TX,11,852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",2810,2825,3066,3011,1.1,0.9,1,1.2,
Import,TX,12,853710,"BOARDS, PANELS, CONSOLES, ETC. WITH ELECTRICAL APP",1842,2251,2655,2576,0.7,0.7,0.9,1,
Import,TX,13,847330,PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSIN,2189,2801,2826,2521,0.8,0.9,1,1,
Import,TX,14,852351,SOLID-STATE NON-VOLATILE SEMICONDUCTOR STORAGE DEV,436,974,1694,2216,0.2,0.3,0.6,0.9,
Import,TX,15,300290,HUMAN BLOOD; ANIMAL BLOOD PREPARED FOR THERAPEUTIC,1708,1393,1520,1947,0.7,0.5,0.5,0.8,
Import,TX,16,870120,ROAD TRACTORS FOR SEMI-TRAILERS,1915,3114,3094,1768,0.7,1,1,0.7,
Import,TX,17,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",1253,1820,2178,1718,0.5,0.6,0.7,0.7,
Import,TX,18,848180,"TAPS, COCKS, VALVES AND SIMILAR APPLIANCES FOR PIP",1719,2127,1930,1468,0.7,0.7,0.7,0.6,
Import,TX,19,940190,"PARTS OF SEATS (EXCEPT PARTS OF MEDICAL, DENTIST',",2008,2040,1964,1467,0.8,0.7,0.7,0.6,
Import,TX,20,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",1753,1738,1216,1410,0.7,0.6,0.4,0.6,
Import,TX,21,850440,ELECTRICAL STATIC CONVERTERS; POWER SUPPLIES FOR A,1234,1231,1303,1340,0.5,0.4,0.4,0.5,
Import,TX,22,847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES,",852,1404,1707,1265,0.3,0.5,0.6,0.5,
Import,TX,23,950300,"TRICYCLES, SCOOTERS, PEDAL CARS AND SIMILAR WHEELE",1205,1241,1258,1242,0.5,0.4,0.4,0.5,
Import,TX,24,630790,"MADE-UP TEXTILE ARTICLES, NESOI",616,639,708,1210,0.2,0.2,0.2,0.5,
