Month,Value
1/2019,138156.0
2/2019,138324.6
3/2019,140132.0
4/2019,135539.1
5/2019,138321.6
6/2019,134768.5
7/2019,136695.6
8/2019,136570.0
9/2019,135386.1
10/2019,136147.9
11/2019,136185.6
12/2019,136933.8
1/2020,136168.4
2/2020,137543.7
3/2020,127388.2
4/2020,95458.2
5/2020,89750.9
6/2020,102669.9
7/2020,115139.3
8/2020,118527.2
9/2020,122338.4
10/2020,126028.0
11/2020,127367.5
12/2020,133230.6
