Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
(22020) Engines-civilian aircraft,14306212,16517527,17527360,18889638,19504844,18946873,20782322,24038595,28591160,17531348
(22100) Railway transportation equipment,1411866,1695018,1398317,1631523,1842483,1253519,1319095,1704398,1701809,1155357
"(22200) Vessels, except scrap",1817,13333,11418,15463,2834,3271,3216,6973,1151,662
"(22210) Commercial vessels, other",165987,112419,147399,152794,165171,184829,194473,240335,179527,106927
"(22220) Marine engines, parts",969093,1041946,1161098,1173016,1154618,1034240,1165834,1276488,1170269,1145546
"(22300) Spacecraft, excluding military",165533,132424,136857,185971,226919,223334,294238,296971,192845,87402
"(30000) Passenger cars, new and used",122347245,146360337,152482388,153361785,166141398,170039409,175731056,173186701,175118984,141692091
"(30100) Trucks, buses, and special purpose vehicles",19525835,22676935,25403703,31609472,34130327,32979491,36131819,41901276,46506544,35683902
(30110) Bodies and chassis for trucks and buses,729860,940909,789525,762767,902681,874919,644909,821406,803165,561548
"(30200) Engines and engine parts (carburetors, pistons, rings, and valves)",24409736,26840648,26382931,29342706,29469044,28349421,28480319,30047077,29106853,24883644
(30210) Bodies and chassis for passenger cars,13616,21281,11177,15690,18725,18200,24110,22565,20518,23124
(30220) Automotive tires and tubes,10561849,11418942,11739839,12175031,12221994,11696279,12114624,12970720,13210469,11924838
(30230) Other parts and accessories of vehicles,76819819,89520517,91994708,101374143,106277649,105957089,105107325,112516327,111167077,95914214
"(40000) Apparel, household goods - cotton",50389488,47434435,48640031,47605523,47617246,43896258,43188640,44868629,44452071,34941930
"(40010) Apparel, household goods - wool",3326731,3241522,3218322,3536268,3275481,2891778,2610164,2770819,2815037,1732142
"(40020) Apparel, textiles, nonwool or cotton",36962987,39376936,41873878,46333958,50751754,49302445,50056914,52359160,53779470,61821312
"(40030) Apparel,household goods-nontextile",8050918,8638868,8971341,9504288,9702615,8935997,9209703,9852692,9322752,10496222
(40040) Footwear,18349629,19111578,19536386,20365113,20965213,18853521,18640555,19351147,19604209,14515021
(40050) Camping apparel and gear,8630952,9036726,9526008,10268648,11752412,12012113,12957837,13251120,13649606,11354223
(40100) Pharmaceutical preparations,91767582,87808292,83957602,92041377,108333645,111711011,110382599,132947612,149090991,162827870
"(40110) Books, printed matter",3648726,3622864,3652741,3780309,3971495,3878689,3858244,4060769,4160780,3411753
(40120) Toiletries and cosmetics,7934891,8692060,9559291,10193247,10298350,10877814,11624397,12711282,12457526,12636085
(40140) Other consumer nondurables,13151645,13409622,13929336,14312803,14700523,14819142,14950271,15952507,16005984,15316611
"(41000) Furniture, household goods, etc.",23630045,25612712,26514998,28819468,32124515,33631440,36710888,40066004,37611154,37915947
"(41010) Glassware, chinaware",2062301,2137478,2255401,2364478,2488594,2472945,2464095,2643494,2599959,2181928
"(41020) Cookware, cutlery, tools",7460358,7811906,8383921,8684710,9438268,9732116,9999642,10752956,11252472,12085149
(41030) Household appliances,20892926,22265429,23395032,25244032,27018958,26886058,28999003,31076478,29857677,33121655
(41040) Rugs,1923219,2047523,2178587,2463955,2529901,2676248,2783189,3117035,2910496,2959138
"(41050) Cell phones and other household goods, n.e.c.",77688059,81286225,90201445,96035568,98617423,96962209,106283463,108401722,108022010,98501597
(41100) Motorcycles and parts,2606548,3058783,3023137,2942296,2969890,2834084,3030430,3509360,3245391,3420271
(41110) Pleasure boats and motors,2146346,2315722,2431253,2648526,3298117,3207849,3510374,3686034,3866720,3521245
"(41120) Toys, games, and sporting goods",32953784,33473500,33260155,32543439,34904495,33917880,35959382,38020112,37331026,40631649
(41130) Photo equipment,5343235,5362253,3937043,3435986,3585207,3536619,4113719,4113935,4360223,4688169
(41140) Musical instruments,1582765,1621928,1612178,1699390,1675505,1645857,1718614,1853931,1960857,1745103
(41200) Televisions and video equipment,33495146,32861882,28761571,28206963,28352488,24057877,25593089,25237584,23666011,21734833
"(41210) Stereo equipment, etc",5974135,6761754,6833866,6759854,6312400,5937418,5852228,5860863,5974085,8512318
(41220) Recorded media,3006244,906893,832992,759804,944048,839279,754676,800666,804869,799359
(41300) Numismatic coins,2537904,1933133,2624143,1797041,1991546,2068017,1256930,1147880,1072659,2384666
(41310) Jewelry,12338842,12073277,12942696,13523714,14014196,14273518,14128472,13733965,13946063,11867760
"(41320) Artwork, antiques, stamps, etc.",8798301,9799248,11046181,11168489,13752328,11850652,12514500,14174795,14339958,7528647
"(42000) Nursery stock, etc.",1547076,1620978,1677548,1727651,1735008,1855586,1957082,2092608,2232505,2226047
(42100) Gem diamonds,22298831,20195757,23387855,24602759,23393895,23886506,22603670,23905896,19813555,12075368
"(42110) Gem stones, other",3113662,3404237,3508853,3714981,3663935,3649133,3705221,3824840,3422412,2345186
(50000) Military aircraft and parts,2620368,3279467,2948243,3284862,3064850,3249323,3454848,4147910,4604294,3942127
(50010) Other military equipment,2385881,2287477,2213626,1822158,1654316,1768267,1529490,1472518,1506640,1862129
"(50020) U.S. goods returned, and reimports",41524554,48702208,51930499,56753553,62027501,63368511,66109725,75536501,86459809,77842784
(50030) Minimum value shipments,14043284,12985722,13442717,17043421,17134432,16745220,17457457,18252713,18826549,17477429
"(50040) Other (movies, miscellaneous imports, and special transactions)",4587657,4691784,4665211,4688523,5371519,5672070,6724732,6925680,6789149,5317104
TOTAL,2207954346,2276267147,2267986734,2356356072,2248811351,2186785901,2339591330,2537729328,2497531484,2336579145
