Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
"(22090) Civilian aircraft, engines, equipment, and parts",80352575,94309320,104979669,113129507,119487736,120933828,120967157,130750133,125916258,71580197
(22100) Railway transportation equipment,3585256,4131936,4198274,4258411,4377270,3650607,3396542,3659193,3777378,2927935
"(22200) Vessels, excluding scrap",96916,52817,102317,374900,154443,72707,84310,69722,134546,35836
"(22210) Commercial vessels, other",419977,498485,627109,575377,402199,342540,424319,741427,328452,354764
"(22220) Marine engines, parts",1280356,1438188,1473795,1441002,1594411,1314608,1185236,1297416,1284478,1034859
"(22300) Spacecraft, excluding military",31578,44515,63057,76026,61585,85781,136911,74719,71363,215966
"(30000) Passenger cars, new and used",47397769,53510565,56247176,60624910,54537749,53130033,52509594,50348632,55436203,44891177
"(30100) Trucks, buses and special purpose vehicles",19373891,20059999,20877728,19878706,17939157,18010770,20724246,21688523,23514461,17285123
"(30200) Engines and engine parts (carburetors, pistons, rings, and valves)",14705701,15914444,16468620,18395680,16999969,17771935,20028578,20861521,21377091,17050194
(30210) Bodies and chassis for passenger cars,112151,117637,233760,399914,606452,820597,916740,1047266,682660,652817
(30220) Automotive tires and tubes,3783536,4117945,3991877,4139002,3758202,3396724,3402812,3590057,3380872,2573726
(30230) Other parts and accessories of vehicles,47662895,52437671,54841339,56373859,58052375,57267550,60284860,61300271,58076296,44754251
"(40000) Apparel, household goods - textile",6027837,6492050,6865424,7184532,7195941,6587181,6688977,7019914,6983972,6113163
"(40030) Apparel,household goods-nontextile",2699664,2939634,3008171,3048053,3123735,3030954,3041272,3259874,3218221,2512734
(40050) Sports apparel and gear,693664,710406,731973,830926,802079,689022,741261,774976,841584,678663
(40100) Pharmaceutical preparations,45056547,47798606,48364277,51029125,54898129,53142689,51158467,54592832,60374672,59361575
"(40110) Books, printed matter",5367728,5379343,5336898,5042560,4710255,4483006,4356379,4240667,4156368,3556186
(40120) Toiletries and cosmetics,9877924,10651875,11323277,12057799,12034358,12132930,12816437,13386741,13748124,12479064
"(40130) Tobacco, manufactured",536846,526755,696495,667664,923271,1155880,1068577,1257980,1048245,349275
(40140) Other consumer nondurables,7169789,7390612,7582135,7541499,7498590,7251058,7335366,7251659,6916711,6467675
"(41000) Furniture, household goods, etc.",4124996,4667394,4653985,4830450,4678927,4609883,4780167,4956468,4888291,4174279
"(41010) Glassware, chinaware",498100,558228,572839,602544,582702,570969,577665,591483,557818,475520
"(41020) Cookware, cutlery, tools",1004151,1055674,1092795,1183493,1179944,1170594,1182876,1196323,1160193,1033143
(41030) Household appliances,6890161,7255107,7510789,6693149,6554893,6148906,6251916,6427263,6147761,5775551
